# ----------------------------------------
# Landing page: Landing page
# Account: Harpar Grace International
# Property: Revitalash GA4 (LIVE)
# ----------------------------------------
# 
# All Users
# Start date: 20240330
# End date: 20250330
Landing page,Session default channel group,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,Paid Search,57561,51548,49403,95.45582946786887,4904,567917.65,0.08505759107729191
/,Direct,48253,39326,37950,68.86867137794542,3982,464263.637972,0.08250264232275713
/,Organic Search,30853,25746,23471,95.60052507049558,2489,294459.393544,0.08054322108060805
/,Referral,23841,19828,18726,49.71888763055241,754,88493.630002,0.031458411979363284
/products/revitalash®-advanced-eyelash-conditioner-serum,Referral,17786,16269,16121,29.49527718430226,273,29835.38,0.015292927021252671
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Shopping,17120,14881,13866,49.10303738317757,875,82094.06,0.05099299065420561
/products/revitalash-advanced-eyelash-conditioner-serum,Direct,10462,7562,6604,42.82546358248901,615,68155.71,0.058593003249856626
/,Paid Social,10195,8938,8503,33.25061304561059,272,30741.7,0.026581657675331046
/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Search,9450,7855,7257,57.68518518518518,327,37417.06,0.0344973544973545
/products/revitalash®-advanced-eyelash-conditioner-serum,Paid Shopping,5619,5055,4719,60.20217120484072,287,29652.08,0.050720768820074744
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Social,5434,5499,5484,5.80898049319102,12,1037.4,0.002208317997791682
(not set),Organic Search,4412,3073,0,4.350407978241161,0,0,0
/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,4399,3621,3409,32.60309161172994,153,17544.54,0.0347806319618095
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Paid Shopping,4274,3420,2997,30.171268132896586,159,16943.45,0.03673373888628919
(not set),Direct,4082,2875,14,2.8089171974522293,0,0,0
/products/revitalash-advanced-sensitive,Organic Search,4016,3526,3152,67.56947211155378,165,20113.578576,0.041085657370517926
(not set),Paid Search,3935,3125,1,2.815756035578145,0,0,0
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Search,3927,2801,1665,37.330277565571684,135,12793.84,0.03437738731856379
/,Cross-network,3817,3465,3320,54.233167408959915,159,19513.7,0.04086979303117631
/blogs/news/revitalashs-little-black-book-the-a-listers-who-swear-by-our-cult-lash-serum,Organic Search,3788,3608,3588,49.68532206969377,3,286.1,0.0007919746568109821
/collections/lash,Direct,3423,2884,2493,72.13380075956763,347,37783.05,0.10137306456324861
/products/double-ended-revitalash-advanced-revitabrow-advanced,Paid Social,2756,2329,2097,13.839985486211901,65,8797.8,0.02358490566037736
/products/revitalash-advanced-sensitive,Paid Shopping,2675,2234,1958,22.870280373831775,50,5864.44,0.018691588785046728
/products/signature-travel-kit-lash,Paid Social,2664,2507,2469,18.55518018018018,24,3216.5,0.008633633633633633
/products/revitalash-advanced-eyelash-conditioner-serum,Referral,2531,2024,1735,54.968787040695375,137,14600.95,0.053733702094033976
/collections/serums,Organic Search,2522,2306,2073,72.41078509119747,140,15510.500063,0.05551149881046788
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Search,2359,1578,413,22.57778719796524,77,7754.15,0.03221704111911827
/products/double-ended-volume-set,Paid Shopping,2255,1902,1682,24.10731707317073,84,4319.8,0.03725055432372506
/products/revitalash-advanced-eyelash-conditioner,Organic Search,2165,1744,1579,55.05866050808314,71,8561.391642,0.03279445727482679
/products/revitalash-advanced-eyelash-conditioner-serum,Cross-network,2124,1916,1745,62.6228813559322,102,9552.97,0.0480225988700565
/products/revitabrow®-advanced-eyebrow-serum,Organic Search,2020,1692,1536,79.30346534653465,141,12848.36,0.06980198019801981
/,Paid Shopping,1920,1207,581,32.360416666666666,68,7434.69,0.034895833333333334
/collections/best-sellers-hp,Organic Shopping,1883,1852,1814,41.075411577270316,33,3406.75,0.017525225703664365
/products/revitabrow-advanced-eyebrow-serum,Paid Shopping,1883,1663,1435,48.77907594264472,93,8288.4,0.04938927243759957
/products/thickening-shampoo,Paid Shopping,1876,1619,1507,17.807569296375267,25,1671.5,0.01279317697228145
/collections/gifts,Direct,1858,1629,1394,68.34822389666307,112,13012.954679,0.060279870828848225
/products/revitalash-advanced-sensitive,Direct,1847,1382,1153,35.91066594477531,75,13326.8,0.040606388738494856
/collections/all-products,Direct,1689,1542,1422,94.66666666666667,343,39674.226174,0.2024866785079929
/collections/all,Direct,1647,1435,1350,46.62173649058895,93,11642.792333,0.056466302367941715
/products/revitabrow-advanced-eyebrow-serum,Organic Search,1637,1314,1134,75.48075748320097,123,11851.97,0.07513744654856444
(not set),Referral,1580,1061,1,6.821518987341772,0,0,0
/products/lash-and-brow-masque,Paid Shopping,1509,1277,1112,35.70245195493705,27,1723.8,0.017892644135188866
(not set),Paid Shopping,1399,1090,0,6.729092208720514,0,0,0
/,Unassigned,1389,1063,767,58.40676745860331,86,9785.816711,0.0619150467962563
/collections/best-sellers-hp,Direct,1354,930,714,25.69645494830133,42,5600.6,0.0310192023633678
/products/signature-travel-kit-lash,Direct,1326,1030,878,45.223981900452486,78,9659.9,0.058823529411764705
/collections/gifts,Paid Search,1309,1138,954,89.23605805958748,106,13785.35,0.08097784568372804
/,Email,1287,1002,728,89.66744366744366,160,19732.8,0.12432012432012432
/collections/all-products/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Paid Social,1264,1123,1060,21.863132911392405,15,2036.9,0.011867088607594937
/products/lash-brow-set,Paid Shopping,1259,967,763,20.410643367752183,27,4026,0.021445591739475776
/products/revitabrow-advanced-eyebrow-serum,Direct,1239,878,707,37.20096852300242,80,8300.45,0.0645682001614205
/collections/brow,Direct,1222,1043,908,58.53355155482815,112,11615.8,0.09165302782324058
/pages/faq,Organic Search,1218,1053,949,50.8752052545156,8,784.4,0.006568144499178982
/products/dssrla,Paid Shopping,1178,1058,963,42.407470288624786,29,1696.4,0.02461799660441426
/products/thickening-shampoo,Organic Search,1169,993,914,63.82207014542344,63,4324.356153,0.05389221556886228
/products/hi-def-brow-gel,Paid Shopping,1098,924,822,21.81967213114754,30,1641.4,0.0273224043715847
/,Organic Social,1080,998,909,34.68611111111111,22,2697.9,0.019444444444444445
/collections/serums,Direct,1078,855,736,37.13358070500928,43,4635.8,0.039888682745825604
/products/volumizing-hair-collection,Paid Shopping,961,830,736,31.147762747138398,16,2305.4,0.01664932362122789
/products/wash-go-set,Paid Shopping,951,827,753,52.841219768664565,83,5498.55,0.08622502628811778
/products/most-coveted-collection-lash,Direct,908,765,594,67.16299559471365,54,6555.55,0.05837004405286344
/collections/all,Organic Search,890,749,629,83.28089887640449,69,8338.9,0.07752808988764046
/collections/all-products/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Direct,856,699,649,64.09696261682242,65,8875.4,0.07593457943925233
/collections/all-products/products/signature-travel-kit-lash,Referral,846,828,801,47.35224586288416,13,1656,0.015366430260047281
/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Direct,827,587,476,51.50302297460701,45,5781.66,0.05441354292623942
/blogs/news/overplucked-brows-here-s-what-to-do,Direct,812,713,631,70.79064039408867,18,1733.5,0.022167487684729065
/products/revitabrow®-advanced-eyebrow-serum,Direct,795,692,626,27.435220125786163,16,1890,0.02012578616352201
/products/limited-edition-of-revitabrow-advanced-3-5ml,Paid Social,792,653,564,16.17929292929293,16,2090.55,0.020202020202020204
/collections/best-sellers,Direct,790,639,568,21.582278481012658,24,3034.3,0.030379746835443037
/collections/all-products/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,748,539,445,26.171122994652407,32,4175.1,0.0427807486631016
/collections/all-products/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Paid Social,743,683,656,25.54777927321669,8,939,0.010767160161507403
/collections/best-sellers-hp,Paid Search,723,477,71,34.10373443983403,21,2707.6,0.029045643153526972
