Landing Page,Channel,Sessions,Transactions,Conversion Rate (%)
/,Paid Search,57561,4904,8.52
/,Direct,48253,3982,8.25
/,Organic Search,30853,2489,8.07
/,Referral,23841,754,3.16
/products/revitalash®-advanced-eyelash-conditioner-serum,Referral,17786,273,1.53
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Shopping,17120,875,5.11
/products/revitalash-advanced-eyelash-conditioner-serum,Direct,10462,615,5.88
/,Paid Social,10195,272,2.67
/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Search,9450,327,3.46
/products/revitalash®-advanced-eyelash-conditioner-serum,Paid Shopping,5619,287,5.11
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Social,5434,12,0.22
/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,4399,153,3.48
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Paid Shopping,4274,159,3.72
/products/revitalash-advanced-sensitive,Organic Search,4016,165,4.11
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Search,3927,135,3.44
/,Cross-network,3817,159,4.17
/collections/lash,Direct,3423,347,10.14
/products/double-ended-revitalash-advanced-revitabrow-advanced,Paid Social,2756,65,2.36
/products/revitalash-advanced-sensitive,Paid Shopping,2675,50,1.87
/products/signature-travel-kit-lash,Paid Social,2664,24,0.90
/products/revitalash-advanced-eyelash-conditioner-serum,Referral,2531,137,5.41
/collections/serums,Organic Search,2522,140,5.55
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Search,2359,77,3.26
/products/double-ended-volume-set,Paid Shopping,2255,84,3.73
/products/revitalash-advanced-eyelash-conditioner,Organic Search,2165,71,3.28
/products/revitalash-advanced-eyelash-conditioner-serum,Cross-network,2124,102,4.80
/products/revitabrow®-advanced-eyebrow-serum,Organic Search,2020,141,6.98
/,Paid Shopping,1920,68,3.54
/collections/best-sellers-hp,Organic Shopping,1883,33,1.75
/products/revitabrow-advanced-eyebrow-serum,Paid Shopping,1883,93,4.94
/products/thickening-shampoo,Paid Shopping,1876,25,1.33
/collections/gifts,Direct,1858,112,6.03
/products/revitalash-advanced-sensitive,Direct,1847,75,4.06
/collections/all-products,Direct,1689,343,20.31
/collections/all,Direct,1647,93,5.65
/products/revitabrow-advanced-eyebrow-serum,Organic Search,1637,123,7.51
